quality_event_id,internal_project_id,severity,event_type,description,resolution_status
DQ-000001,PAI-00004,HIGH,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000002,PAI-00020,HIGH,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000003,PAI-00024,HIGH,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000004,PAI-00040,HIGH,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000005,PAI-00047,HIGH,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000006,PAI-00073,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000007,PAI-00086,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000008,PAI-00105,LOW,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000009,PAI-00112,LOW,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000010,PAI-00125,MEDIUM,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000011,PAI-00127,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000012,PAI-00137,HIGH,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000013,PAI-00160,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000014,PAI-00163,LOW,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000015,PAI-00170,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000016,PAI-00178,HIGH,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000017,PAI-00190,HIGH,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000018,PAI-00203,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000019,PAI-00218,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000020,PAI-00236,HIGH,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000021,PAI-00237,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000022,PAI-00247,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000023,PAI-00254,HIGH,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000024,PAI-00259,LOW,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000025,PAI-00264,HIGH,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000026,PAI-00285,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000027,PAI-00287,HIGH,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000028,PAI-00300,LOW,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000029,PAI-00311,MEDIUM,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000030,PAI-00341,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000031,PAI-00342,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000032,PAI-00363,LOW,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000033,PAI-00367,LOW,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000034,PAI-00385,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000035,PAI-00388,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000036,PAI-00432,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000037,PAI-00434,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000038,PAI-00442,MEDIUM,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000039,PAI-00452,MEDIUM,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000040,PAI-00465,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000041,PAI-00473,HIGH,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000042,PAI-00476,HIGH,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000043,PAI-00492,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000044,PAI-00505,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000045,PAI-00506,HIGH,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000046,PAI-00510,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000047,PAI-00525,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000048,PAI-00584,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000049,PAI-00608,LOW,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000050,PAI-00615,HIGH,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000051,PAI-00668,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000052,PAI-00688,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000053,PAI-00697,MEDIUM,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000054,PAI-00710,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000055,PAI-00711,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000056,PAI-00715,MEDIUM,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000057,PAI-00716,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000058,PAI-00717,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000059,PAI-00727,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000060,PAI-00769,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000061,PAI-00790,HIGH,SCHEMA_CHECK,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000062,PAI-00817,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000063,PAI-00844,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline testing.,OPEN
DQ-000064,PAI-00850,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline testing.,OPEN
