internal_project_id,milestone_name,planned_date,actual_date,status,delay_days
PAI-00001,Milestone 1,2025-05-19,2025-05-19,COMPLETED,0.0
PAI-00001,Milestone 2,2025-07-21,2025-07-21,COMPLETED,0.0
PAI-00001,Milestone 3,2025-09-23,2025-09-30,COMPLETED,7.0
PAI-00001,Milestone 4,2025-11-25,2025-12-18,COMPLETED,23.0
PAI-00001,Milestone 5,2026-01-27,2026-01-31,COMPLETED,4.0
PAI-00001,Milestone 6,2026-04-01,2026-04-01,COMPLETED,0.0
PAI-00001,Milestone 7,2026-06-03,,PLANNED,
PAI-00001,Milestone 8,2026-08-05,,PLANNED,
PAI-00002,Milestone 1,2025-08-04,2025-09-24,COMPLETED,51.0
PAI-00002,Milestone 2,2026-01-20,2026-02-22,DELAYED,33.0
PAI-00002,Milestone 3,2026-07-08,,PLANNED,
PAI-00002,Milestone 4,2026-12-25,,PLANNED,
PAI-00002,Milestone 5,2027-06-12,,PLANNED,
PAI-00002,Milestone 6,2027-11-28,,PLANNED,
PAI-00002,Milestone 7,2028-05-15,,PLANNED,
PAI-00003,Milestone 1,2026-05-18,,PLANNED,
PAI-00003,Milestone 2,2026-09-22,,PLANNED,
PAI-00003,Milestone 3,2027-01-27,,PLANNED,
PAI-00003,Milestone 4,2027-06-03,,PLANNED,
PAI-00003,Milestone 5,2027-10-08,,PLANNED,
PAI-00003,Milestone 6,2028-02-12,,PLANNED,
PAI-00003,Milestone 7,2028-06-18,,PLANNED,
PAI-00003,Milestone 8,2028-10-23,,PLANNED,
PAI-00004,Milestone 1,2026-02-18,,PLANNED,
PAI-00004,Milestone 2,2026-11-09,,PLANNED,
PAI-00004,Milestone 3,2027-07-31,,PLANNED,
PAI-00004,Milestone 4,2028-04-20,,PLANNED,
PAI-00004,Milestone 5,2029-01-09,,PLANNED,
PAI-00005,Milestone 1,2025-10-19,2025-10-19,COMPLETED,0.0
PAI-00005,Milestone 2,2026-03-06,2026-03-06,COMPLETED,0.0
PAI-00005,Milestone 3,2026-07-23,,PLANNED,
PAI-00005,Milestone 4,2026-12-08,,PLANNED,
PAI-00005,Milestone 5,2027-04-25,,PLANNED,
PAI-00005,Milestone 6,2027-09-11,,PLANNED,
PAI-00005,Milestone 7,2028-01-27,,PLANNED,
PAI-00006,Milestone 1,2024-11-21,2025-04-10,COMPLETED,140.0
PAI-00006,Milestone 2,2025-03-10,2025-06-08,COMPLETED,90.0
PAI-00006,Milestone 3,2025-06-28,2025-11-21,DELAYED,146.0
PAI-00006,Milestone 4,2025-10-15,2026-02-05,COMPLETED,113.0
PAI-00006,Milestone 5,2026-02-02,,PLANNED,
PAI-00006,Milestone 6,2026-05-22,,PLANNED,
PAI-00006,Milestone 7,2026-09-09,,PLANNED,
PAI-00006,Milestone 8,2026-12-27,,PLANNED,
PAI-00007,Milestone 1,2024-02-24,2024-02-24,DELAYED,0.0
PAI-00007,Milestone 2,2024-07-29,2024-07-29,DELAYED,0.0
PAI-00007,Milestone 3,2025-01-01,2025-01-01,COMPLETED,0.0
PAI-00007,Milestone 4,2025-06-06,2025-06-06,COMPLETED,0.0
PAI-00007,Milestone 5,2025-11-09,2025-11-09,COMPLETED,0.0
PAI-00007,Milestone 6,2026-04-14,2026-04-14,COMPLETED,0.0
PAI-00007,Milestone 7,2026-09-17,,PLANNED,
PAI-00008,Milestone 1,2025-02-24,2025-02-24,DELAYED,0.0
PAI-00008,Milestone 2,2025-07-16,2025-07-16,COMPLETED,0.0
PAI-00008,Milestone 3,2025-12-05,2025-12-05,COMPLETED,0.0
PAI-00008,Milestone 4,2026-04-26,2026-04-26,COMPLETED,0.0
PAI-00008,Milestone 5,2026-09-15,,PLANNED,
