internal_project_id,project_code,legacy_ocms_code,pmgid,mapping_method,mapping_confidence
PAI-00001,PRJ-361471,OCMS-672225,PM-6714326,synthetic_direct_mapping,0.963
PAI-00002,PRJ-966509,OCMS-616829,PM-9865927,synthetic_direct_mapping,0.952
PAI-00003,PRJ-920946,OCMS-217802,PM-2806488,synthetic_direct_mapping,0.973
PAI-00004,PRJ-198367,OCMS-649066,PM-9496730,synthetic_direct_mapping,0.95
PAI-00005,PRJ-905574,OCMS-707373,PM-4789311,synthetic_direct_mapping,0.977
PAI-00006,PRJ-230713,OCMS-531234,PM-7520765,synthetic_direct_mapping,0.963
PAI-00007,PRJ-104797,OCMS-337468,PM-3590732,synthetic_direct_mapping,0.984
PAI-00008,PRJ-203966,OCMS-326306,PM-3419427,synthetic_direct_mapping,0.963
PAI-00009,PRJ-212569,OCMS-409859,PM-8037128,synthetic_direct_mapping,0.979
PAI-00010,PRJ-536706,OCMS-886219,PM-8406282,synthetic_direct_mapping,0.944
PAI-00011,PRJ-611275,OCMS-756923,PM-7082791,synthetic_direct_mapping,0.963
PAI-00012,PRJ-861136,OCMS-613180,PM-2526366,synthetic_direct_mapping,0.989
PAI-00013,PRJ-650344,OCMS-771698,PM-7399859,synthetic_direct_mapping,0.961
PAI-00014,PRJ-296584,OCMS-599904,PM-9370599,synthetic_direct_mapping,0.96
PAI-00015,PRJ-415294,OCMS-593839,PM-2586510,synthetic_direct_mapping,0.999
PAI-00016,PRJ-695455,OCMS-978286,PM-9047853,synthetic_direct_mapping,0.945
PAI-00017,PRJ-555069,OCMS-117533,PM-2508806,synthetic_direct_mapping,0.945
PAI-00018,PRJ-488146,OCMS-360463,PM-8448092,synthetic_direct_mapping,0.994
PAI-00019,PRJ-519503,OCMS-256944,PM-4693591,synthetic_direct_mapping,0.977
PAI-00020,PRJ-123450,OCMS-273693,PM-9852498,synthetic_direct_mapping,0.959
PAI-00021,PRJ-595690,OCMS-200681,PM-6678328,synthetic_direct_mapping,0.994
PAI-00022,PRJ-812443,OCMS-116975,PM-6138630,synthetic_direct_mapping,0.976
PAI-00023,PRJ-404460,OCMS-788872,PM-2899680,synthetic_direct_mapping,0.943
PAI-00024,PRJ-216125,OCMS-701437,PM-5717719,synthetic_direct_mapping,0.98
PAI-00025,PRJ-518836,OCMS-392808,PM-4647105,synthetic_direct_mapping,0.988
PAI-00026,PRJ-593920,OCMS-163643,PM-3535751,synthetic_direct_mapping,0.958
PAI-00027,PRJ-980944,OCMS-172063,PM-1792832,synthetic_direct_mapping,0.954
PAI-00028,PRJ-569259,OCMS-720009,PM-2185194,synthetic_direct_mapping,0.988
PAI-00029,PRJ-132076,OCMS-749768,PM-4679661,synthetic_direct_mapping,0.988
PAI-00030,PRJ-553740,OCMS-631013,PM-8989484,synthetic_direct_mapping,0.977
PAI-00031,PRJ-616937,OCMS-140065,PM-3019460,synthetic_direct_mapping,0.941
PAI-00032,PRJ-106738,OCMS-863827,PM-3223131,synthetic_direct_mapping,0.97
PAI-00033,PRJ-827784,OCMS-520522,PM-5404215,synthetic_direct_mapping,0.95
PAI-00034,PRJ-665602,OCMS-738437,PM-7026869,synthetic_direct_mapping,0.977
PAI-00035,PRJ-316697,OCMS-178724,PM-7659858,synthetic_direct_mapping,0.994
PAI-00036,PRJ-719338,OCMS-627470,PM-4855061,synthetic_direct_mapping,0.991
PAI-00037,PRJ-578383,OCMS-349733,PM-9697733,synthetic_direct_mapping,0.952
PAI-00038,PRJ-808755,OCMS-395132,PM-1088126,synthetic_direct_mapping,0.971
PAI-00039,PRJ-603687,OCMS-379301,PM-9480730,synthetic_direct_mapping,0.943
PAI-00040,PRJ-115465,OCMS-240991,PM-7523862,synthetic_direct_mapping,0.959
PAI-00041,PRJ-597937,OCMS-504289,PM-3853885,synthetic_direct_mapping,0.993
PAI-00042,PRJ-780970,OCMS-124508,PM-8099756,synthetic_direct_mapping,0.963
