internal_project_id,outcome_date,outcome_type,outcome_reason
PAI-00001,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00002,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00003,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00004,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00005,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00006,2026-03-01,TERMINATED,SYNTHETIC_OUTCOME
PAI-00007,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00008,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00009,2026-03-01,DOWNGRADED,SYNTHETIC_OUTCOME
PAI-00010,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00011,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00012,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00013,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00014,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00015,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00016,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00017,2026-03-01,FROZEN,SYNTHETIC_OUTCOME
PAI-00018,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00019,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00020,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00021,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00022,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00023,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00024,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00025,2026-03-01,FROZEN,SYNTHETIC_OUTCOME
PAI-00026,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00027,2026-03-01,FROZEN,SYNTHETIC_OUTCOME
PAI-00028,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00029,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
PAI-00030,2026-03-01,COMPLETED,SYNTHETIC_OUTCOME
