internal_project_id,reporting_date,planned_progress_pct,physical_progress_pct,progress_gap_pct,planned_expenditure_cr,period_expenditure_cr,cumulative_expenditure_cr,milestones_planned,milestones_completed,delay_days
PAI-00001,2024-04-01,5.04,4.66,0.38,2.09,2.51,2.51,8,0,13
PAI-00001,2024-05-01,7.82,7.82,0.0,3.24,2.02,4.53,8,0,2
PAI-00001,2024-06-01,16.02,16.02,0.0,6.64,1.38,5.91,8,0,1
PAI-00001,2024-07-01,17.28,17.28,0.0,7.16,1.63,7.54,8,1,0
PAI-00001,2024-08-01,23.84,22.54,1.3,9.88,2.25,9.79,8,1,0
PAI-00001,2024-09-01,30.61,28.77,1.84,12.68,1.81,11.6,8,2,0
PAI-00001,2024-10-01,35.19,35.19,0.0,14.58,1.51,13.11,8,0,0
PAI-00001,2024-11-01,41.13,41.13,0.0,17.04,2.28,15.39,8,3,0
PAI-00001,2024-12-01,39.79,34.62,5.17,16.49,1.38,16.77,8,3,23
PAI-00001,2025-01-01,51.58,48.7,2.88,21.37,1.15,17.92,8,3,19
PAI-00001,2025-02-01,50.84,49.25,1.59,21.06,2.22,20.14,8,2,13
PAI-00001,2025-03-01,53.03,53.03,0.0,21.97,2.45,22.59,8,2,7
PAI-00001,2025-04-01,57.6,57.18,0.42,23.86,2.79,25.38,8,5,9
PAI-00001,2025-05-01,67.25,67.25,0.0,27.86,4.19,29.57,8,4,34
PAI-00001,2025-06-01,57.52,56.8,0.73,23.83,1.06,30.63,8,4,0
PAI-00001,2025-07-01,71.51,69.97,1.55,29.63,0.88,31.51,8,5,0
PAI-00001,2025-08-01,64.67,60.25,4.42,26.79,1.39,32.9,8,7,0
PAI-00001,2025-09-01,92.35,91.55,0.81,38.26,1.87,34.77,8,6,15
PAI-00001,2025-10-01,75.74,71.96,3.79,31.38,3.25,38.02,8,6,14
PAI-00001,2025-11-01,76.42,74.0,2.42,31.66,2.11,40.13,8,5,16
PAI-00001,2025-12-01,95.65,95.65,0.0,39.63,1.31,41.44,8,7,0
PAI-00001,2026-01-01,90.04,89.86,0.18,37.3,1.85,43.29,8,7,0
PAI-00001,2026-02-01,100.0,100.0,0.0,41.43,1.66,44.95,8,5,12
PAI-00001,2026-03-01,100.0,100.0,0.0,41.43,2.09,47.04,8,8,0
PAI-00002,2024-04-01,4.89,1.57,3.33,1.09,1.05,1.05,7,0,0
PAI-00002,2024-05-01,10.05,7.05,2.99,2.23,0.44,1.49,7,1,0
PAI-00002,2024-06-01,14.56,10.74,3.82,3.24,1.44,2.93,7,1,11
PAI-00002,2024-07-01,19.55,16.69,2.86,4.35,0.66,3.59,7,2,0
PAI-00002,2024-08-01,19.89,17.18,2.71,4.42,1.67,5.26,7,1,0
PAI-00002,2024-09-01,26.07,22.2,3.87,5.79,0.44,5.7,7,2,30
PAI-00002,2024-10-01,30.9,26.16,4.74,6.87,0.98,6.68,7,3,0
PAI-00002,2024-11-01,34.4,30.52,3.87,7.64,1.17,7.85,7,2,50
PAI-00002,2024-12-01,45.21,42.07,3.14,10.05,0.64,8.49,7,1,1
PAI-00002,2025-01-01,39.46,32.22,7.24,8.77,1.1,9.59,7,4,38
PAI-00002,2025-02-01,56.06,52.76,3.3,12.46,0.49,10.08,7,3,13
PAI-00002,2025-03-01,50.31,43.1,7.2,11.18,1.99,12.07,7,3,0
PAI-00002,2025-04-01,63.6,58.16,5.44,14.13,0.89,12.96,7,3,10
PAI-00002,2025-05-01,61.87,57.52,4.35,13.75,0.8,13.76,7,5,42
PAI-00002,2025-06-01,63.31,55.57,7.74,14.07,1.61,15.37,7,4,44
PAI-00002,2025-07-01,81.89,75.09,6.79,18.2,0.77,16.14,7,4,20
PAI-00002,2025-08-01,78.81,72.24,6.57,17.51,0.54,16.68,7,4,20
PAI-00002,2025-09-01,71.57,67.31,4.26,15.9,2.01,18.69,7,4,34
PAI-00002,2025-10-01,98.44,88.78,9.67,21.87,1.18,19.87,7,3,33
PAI-00002,2025-11-01,95.11,88.67,6.44,21.13,1.07,20.94,7,5,33
PAI-00002,2025-12-01,84.68,77.52,7.15,18.82,1.18,22.12,7,5,0
PAI-00002,2026-01-01,100.0,91.14,8.86,22.22,0.58,22.7,7,6,33
PAI-00002,2026-02-01,100.0,94.62,5.38,22.22,1.54,24.24,7,6,0
PAI-00002,2026-03-01,100.0,93.21,6.79,22.22,0.85,25.09,7,6,0
PAI-00003,2024-04-01,4.5,2.93,1.58,2.34,1.59,1.59,8,2,14
PAI-00003,2024-05-01,8.54,1.42,7.12,4.45,2.66,4.25,8,0,29
PAI-00003,2024-06-01,12.57,10.41,2.16,6.54,1.5,5.75,8,0,13
PAI-00003,2024-07-01,16.94,14.76,2.19,8.82,1.98,7.73,8,1,5
PAI-00003,2024-08-01,19.05,14.58,4.47,9.91,4.79,12.52,8,1,0
PAI-00003,2024-09-01,25.51,20.64,4.87,13.27,2.0,14.52,8,1,0
PAI-00003,2024-10-01,27.44,21.49,5.95,14.28,2.31,16.83,8,2,9
PAI-00003,2024-11-01,33.41,32.71,0.7,17.38,2.01,18.84,8,2,0
PAI-00003,2024-12-01,39.4,35.3,4.1,20.5,2.23,21.07,8,2,20
PAI-00003,2025-01-01,41.49,33.55,7.94,21.59,1.34,22.41,8,4,18
PAI-00003,2025-02-01,45.64,39.6,6.04,23.74,2.38,24.79,8,1,35
PAI-00003,2025-03-01,59.75,55.23,4.53,31.09,1.54,26.33,8,3,27
