internal_project_id,project_name,ministry,agency,sector,state,project_type,approval_date,start_date,original_end_date,revised_end_date,original_cost_cr,revised_cost_cr,project_code,legacy_ocms_code,pmgid
PAI-00001,National Highway Project 001 - Tamil Nadu,Ministry of Road Transport & Highways,NHAI,Roads,Tamil Nadu,National Highway,2023-04-09,2023-08-14,2027-10-14,2027-10-14,280.74,294.98,PAI26-100000,OCMS-2018-10000,PMG-50000
PAI-00002,Bridge Project 002 - Madhya Pradesh,Ministry of Railways,RVNL,Railways,Madhya Pradesh,Bridge,2023-07-24,2024-02-24,2026-06-24,2026-09-12,150.0,166.53,PAI26-100001,OCMS-2019-10001,PMG-50001
PAI-00003,Generation Project 003 - Tamil Nadu,Ministry of Power,Power Grid Corporation,Power,Tamil Nadu,Generation,2022-07-23,2023-01-16,2026-04-16,2026-06-24,150.0,166.76,PAI26-100002,OCMS-2020-10002,PMG-50002
PAI-00004,Terminal Project 004 - Madhya Pradesh,"Ministry of Ports, Shipping & Waterways",Sagarmala Development Corporation,Ports & Waterways,Madhya Pradesh,Terminal,2022-02-27,2022-11-09,2027-07-09,2027-10-28,220.34,283.09,PAI26-100003,OCMS-2021-10003,PMG-50003
PAI-00005,Runway Project 005 - West Bengal,Ministry of Civil Aviation,AAI Engineering,Civil Aviation,West Bengal,Runway,2022-01-20,2022-10-30,2026-10-30,2026-10-30,150.0,156.77,PAI26-100004,OCMS-2022-10004,PMG-50004
PAI-00006,Fiber Network Project 006 - Uttarakhand,Ministry of Telecommunications,Department of Telecommunications,Telecom,Uttarakhand,Fiber Network,2023-06-09,2024-03-11,2028-12-11,2029-08-21,207.61,279.52,PAI26-100005,OCMS-2023-10005,PMG-50005
PAI-00007,Expressway Project 007 - Haryana,Ministry of Road Transport & Highways,MoRTH,Roads,Haryana,Expressway,2022-03-25,2022-11-03,2026-07-03,2026-08-12,224.22,224.22,PAI26-100006,OCMS-2024-10006,PMG-50006
PAI-00008,Bridge Project 008 - Chhattisgarh,Ministry of Railways,Indian Railways,Railways,Chhattisgarh,Bridge,2023-02-19,2023-10-09,2027-07-09,2027-10-26,490.67,517.14,PAI26-100007,OCMS-2018-10007,PMG-50007
PAI-00009,Grid Modernisation Project 009 - Kerala,Ministry of Power,NTPC,Power,Kerala,Grid Modernisation,2023-01-10,2023-03-12,2026-06-12,2027-02-23,150.0,207.96,PAI26-100008,OCMS-2019-10008,PMG-50008
PAI-00010,Dredging Project 010 - Rajasthan,"Ministry of Ports, Shipping & Waterways",Major Port Authority,Ports & Waterways,Rajasthan,Dredging,2022-07-01,2023-01-14,2026-02-14,2026-02-14,150.0,154.68,PAI26-100009,OCMS-2020-10009,PMG-50009
