snapshot_id,internal_project_id,reporting_date,planned_progress_pct,physical_progress_pct,planned_expenditure_cr,period_expenditure_cr,cumulative_expenditure_cr,milestones_planned,milestones_completed,delay_days
SNP-00001-01,PAI-00001,2024-01-31,0.0,4.55,0.0,12.17,12.17,2,2,0
SNP-00001-02,PAI-00001,2024-02-29,4.6,5.31,13.58,5.02,17.2,2,2,2
SNP-00001-03,PAI-00001,2024-03-31,8.25,11.93,24.33,14.35,31.54,2,2,0
SNP-00001-04,PAI-00001,2024-04-30,13.81,16.26,40.72,15.52,47.06,2,2,0
SNP-00001-05,PAI-00001,2024-05-31,17.48,18.82,51.57,0.34,47.4,1,1,1
SNP-00001-06,PAI-00001,2024-06-30,24.34,23.4,71.81,15.25,62.65,3,3,1
SNP-00001-07,PAI-00001,2024-07-31,28.0,29.21,82.6,12.04,74.69,1,1,0
SNP-00001-08,PAI-00001,2024-08-31,30.86,35.17,91.04,11.06,85.75,2,2,0
SNP-00001-09,PAI-00001,2024-09-30,35.62,36.91,105.08,21.81,107.56,1,1,0
SNP-00001-10,PAI-00001,2024-10-31,40.34,45.85,118.98,29.53,137.08,2,2,0
SNP-00001-11,PAI-00001,2024-11-30,45.51,47.96,134.25,0.0,137.08,3,3,0
SNP-00001-12,PAI-00001,2024-12-31,47.31,54.14,139.56,9.69,146.77,2,2,0
SNP-00001-13,PAI-00001,2025-01-31,54.64,54.55,161.16,0.0,146.77,3,3,0
SNP-00001-14,PAI-00001,2025-02-28,58.86,58.22,173.64,0.0,146.77,2,2,0
SNP-00001-15,PAI-00001,2025-03-31,64.39,59.84,189.95,0.0,146.77,2,1,2
SNP-00001-16,PAI-00001,2025-04-30,68.28,67.35,201.4,33.6,180.37,2,2,0
SNP-00001-17,PAI-00001,2025-05-31,73.03,69.83,215.43,0.0,180.37,1,1,0
SNP-00001-18,PAI-00001,2025-06-30,75.77,77.37,223.51,2.67,183.04,2,2,0
SNP-00001-19,PAI-00001,2025-07-31,82.1,77.37,242.17,9.05,192.09,2,2,1
SNP-00001-20,PAI-00001,2025-08-31,84.25,81.89,248.51,0.0,192.09,2,2,1
SNP-00001-21,PAI-00001,2025-09-30,89.76,90.1,264.77,77.3,269.39,2,2,0
SNP-00001-22,PAI-00001,2025-10-31,93.84,90.1,276.8,7.42,276.81,3,2,1
SNP-00001-23,PAI-00001,2025-11-30,99.05,94.17,292.18,0.0,276.81,2,2,1
SNP-00001-24,PAI-00001,2025-12-31,100.0,98.12,294.98,22.02,298.84,2,2,1
