milestone_id,internal_project_id,milestone_name,planned_date,actual_date,status,delay_days
MS-00001-04-01,PAI-00001,Milestone 4-1,2024-06-05,2024-06-05,COMPLETED,0
MS-00001-08-01,PAI-00001,Milestone 8-1,2024-09-16,,DELAYED,0
MS-00001-08-02,PAI-00001,Milestone 8-2,2024-11-11,2024-11-11,COMPLETED,0
MS-00001-12-01,PAI-00001,Milestone 12-1,2025-03-03,2025-04-02,COMPLETED,30
MS-00001-12-02,PAI-00001,Milestone 12-2,2025-02-04,,DELAYED,0
MS-00001-16-01,PAI-00001,Milestone 16-1,2025-06-06,2025-06-06,COMPLETED,0
MS-00001-16-02,PAI-00001,Milestone 16-2,2025-07-04,2025-07-13,COMPLETED,9
MS-00001-20-01,PAI-00001,Milestone 20-1,2025-10-10,2025-10-17,COMPLETED,7
MS-00001-20-02,PAI-00001,Milestone 20-2,2025-11-02,2025-11-15,COMPLETED,13
MS-00001-24-01,PAI-00001,Milestone 24-1,2026-02-21,,DELAYED,0
MS-00002-04-01,PAI-00002,Milestone 4-1,2024-07-09,2024-08-07,COMPLETED,29
MS-00002-04-02,PAI-00002,Milestone 4-2,2024-05-27,2024-06-22,COMPLETED,26
MS-00002-08-01,PAI-00002,Milestone 8-1,2024-11-16,2024-12-07,COMPLETED,21
MS-00002-08-02,PAI-00002,Milestone 8-2,2024-09-24,2024-10-27,COMPLETED,33
MS-00002-12-01,PAI-00002,Milestone 12-1,2025-02-17,,DELAYED,0
MS-00002-16-01,PAI-00002,Milestone 16-1,2025-05-25,2025-07-12,COMPLETED,48
MS-00002-20-01,PAI-00002,Milestone 20-1,2025-09-26,2025-10-09,COMPLETED,13
MS-00002-24-01,PAI-00002,Milestone 24-1,2026-01-17,2026-03-11,COMPLETED,53
MS-00002-24-02,PAI-00002,Milestone 24-2,2026-01-24,2026-02-24,COMPLETED,31
MS-00003-04-01,PAI-00003,Milestone 4-1,2024-06-10,,DELAYED,0
MS-00003-08-01,PAI-00003,Milestone 8-1,2024-09-16,,DELAYED,0
MS-00003-08-02,PAI-00003,Milestone 8-2,2024-09-23,,DELAYED,0
MS-00003-12-01,PAI-00003,Milestone 12-1,2025-03-03,2025-03-03,COMPLETED,0
MS-00003-16-01,PAI-00003,Milestone 16-1,2025-05-10,,DELAYED,0
MS-00003-16-02,PAI-00003,Milestone 16-2,2025-06-18,2025-07-05,COMPLETED,17
MS-00003-20-01,PAI-00003,Milestone 20-1,2025-10-17,2025-11-11,COMPLETED,25
MS-00003-20-02,PAI-00003,Milestone 20-2,2025-10-30,2025-10-30,COMPLETED,0
MS-00003-24-01,PAI-00003,Milestone 24-1,2026-02-26,2026-04-02,COMPLETED,35
MS-00004-04-01,PAI-00004,Milestone 4-1,2024-07-14,,DELAYED,0
MS-00004-04-02,PAI-00004,Milestone 4-2,2024-07-16,,DELAYED,0
MS-00004-08-01,PAI-00004,Milestone 8-1,2024-10-09,2024-10-30,COMPLETED,21
MS-00004-12-01,PAI-00004,Milestone 12-1,2025-03-08,2025-03-25,COMPLETED,17
MS-00004-12-02,PAI-00004,Milestone 12-2,2025-03-02,,DELAYED,0
MS-00004-16-01,PAI-00004,Milestone 16-1,2025-05-19,2025-07-04,COMPLETED,46
MS-00004-16-02,PAI-00004,Milestone 16-2,2025-06-26,,DELAYED,0
MS-00004-20-01,PAI-00004,Milestone 20-1,2025-10-23,2025-11-28,COMPLETED,36
MS-00004-20-02,PAI-00004,Milestone 20-2,2025-10-26,2025-11-08,COMPLETED,13
MS-00004-24-01,PAI-00004,Milestone 24-1,2026-02-20,,DELAYED,0
