issue_id,internal_project_id,reporting_date,issue_category,issue_description,issue_status,severity
ISS-00001-05-01,PAI-00001,2024-05-31,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,OPEN,LOW
ISS-00001-10-01,PAI-00001,2024-10-31,FUNDING,Synthetic funding issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00001-13-01,PAI-00001,2025-01-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00001-15-01,PAI-00001,2025-03-31,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,OPEN,LOW
ISS-00001-16-01,PAI-00001,2025-04-30,FUNDING,Synthetic funding issue requiring monitoring review.,OPEN,MEDIUM
ISS-00001-17-01,PAI-00001,2025-05-31,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00001-24-01,PAI-00001,2025-12-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,OPEN,HIGH
ISS-00002-05-01,PAI-00002,2024-05-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,OPEN,HIGH
ISS-00002-05-02,PAI-00002,2024-05-31,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,OPEN,LOW
ISS-00002-08-01,PAI-00002,2024-08-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00002-08-02,PAI-00002,2024-08-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00002-14-01,PAI-00002,2025-02-28,CLEARANCE,Synthetic clearance issue requiring monitoring review.,RESOLVED,LOW
ISS-00002-19-01,PAI-00002,2025-07-31,FUNDING,Synthetic funding issue requiring monitoring review.,OPEN,LOW
ISS-00002-21-01,PAI-00002,2025-09-30,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,RESOLVED,LOW
ISS-00003-04-01,PAI-00003,2024-04-30,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00003-06-01,PAI-00003,2024-06-30,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,OPEN,HIGH
ISS-00003-09-01,PAI-00003,2024-09-30,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,RESOLVED,MEDIUM
ISS-00003-10-01,PAI-00003,2024-10-31,FUNDING,Synthetic funding issue requiring monitoring review.,OPEN,HIGH
ISS-00003-17-01,PAI-00003,2025-05-31,FUNDING,Synthetic funding issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00003-17-02,PAI-00003,2025-05-31,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,OPEN,HIGH
ISS-00003-19-01,PAI-00003,2025-07-31,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,OPEN,LOW
ISS-00003-19-02,PAI-00003,2025-07-31,LEGAL_OR_SOCIAL,Synthetic legal or social issue requiring monitoring review.,RESOLVED,MEDIUM
ISS-00003-20-01,PAI-00003,2025-08-31,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00004-02-01,PAI-00004,2024-02-29,FUNDING,Synthetic funding issue requiring monitoring review.,OPEN,LOW
ISS-00004-05-01,PAI-00004,2024-05-31,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,OPEN,HIGH
ISS-00004-05-02,PAI-00004,2024-05-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,OPEN,MEDIUM
ISS-00004-07-01,PAI-00004,2024-07-31,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,OPEN,HIGH
ISS-00004-08-01,PAI-00004,2024-08-31,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,OPEN,LOW
ISS-00004-09-01,PAI-00004,2024-09-30,FUNDING,Synthetic funding issue requiring monitoring review.,OPEN,LOW
ISS-00004-12-01,PAI-00004,2024-12-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,RESOLVED,HIGH
ISS-00004-12-02,PAI-00004,2024-12-31,BUDGET_OR_APPROVAL,Synthetic budget or approval issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00004-13-01,PAI-00004,2025-01-31,FUNDING,Synthetic funding issue requiring monitoring review.,IN_PROGRESS,HIGH
ISS-00004-16-01,PAI-00004,2025-04-30,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00004-17-01,PAI-00004,2025-05-31,PROCUREMENT_OR_CONTRACT,Synthetic procurement or contract issue requiring monitoring review.,OPEN,MEDIUM
ISS-00004-17-02,PAI-00004,2025-05-31,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00004-18-01,PAI-00004,2025-06-30,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,OPEN,LOW
ISS-00004-20-01,PAI-00004,2025-08-31,CLEARANCE,Synthetic clearance issue requiring monitoring review.,OPEN,HIGH
ISS-00004-20-02,PAI-00004,2025-08-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,RESOLVED,HIGH
ISS-00004-22-01,PAI-00004,2025-10-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,OPEN,LOW
ISS-00004-24-01,PAI-00004,2025-12-31,FUNDING,Synthetic funding issue requiring monitoring review.,OPEN,HIGH
ISS-00004-24-02,PAI-00004,2025-12-31,ENGINEERING_OR_FEASIBILITY,Synthetic engineering or feasibility issue requiring monitoring review.,IN_PROGRESS,MEDIUM
ISS-00005-01-01,PAI-00005,2024-01-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,OPEN,LOW
ISS-00005-06-01,PAI-00005,2024-06-30,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,IN_PROGRESS,LOW
ISS-00005-12-01,PAI-00005,2024-12-31,LAND_ACQUISITION,Synthetic land acquisition issue requiring monitoring review.,RESOLVED,LOW
ISS-00005-13-01,PAI-00005,2025-01-31,SCOPE_OR_POLICY,Synthetic scope or policy issue requiring monitoring review.,OPEN,LOW
