outcome_id,internal_project_id,outcome_date,outcome_type,outcome_reason
OUT-00001,PAI-00001,2026-03-06,COMPLETED,
OUT-00002,PAI-00002,2026-06-20,COMPLETED,
OUT-00003,PAI-00003,2026-04-08,COMPLETED,
OUT-00004,PAI-00004,2026-06-22,COMPLETED,
OUT-00005,PAI-00005,2026-05-10,COMPLETED,
OUT-00006,PAI-00006,2026-03-24,COMPLETED,
OUT-00007,PAI-00007,2026-02-28,COMPLETED,
OUT-00008,PAI-00008,2026-07-25,COMPLETED,
OUT-00009,PAI-00009,2026-08-12,COMPLETED,
OUT-00010,PAI-00010,2026-03-20,COMPLETED,
OUT-00011,PAI-00011,2026-05-22,COMPLETED,
OUT-00012,PAI-00012,2026-04-10,COMPLETED,
OUT-00013,PAI-00013,2026-02-06,COMPLETED,
OUT-00014,PAI-00014,2026-08-20,COMPLETED,
OUT-00015,PAI-00015,2026-05-19,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00016,PAI-00016,2026-03-08,COMPLETED,
OUT-00017,PAI-00017,2026-02-06,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00018,PAI-00018,2026-02-22,COMPLETED,
OUT-00019,PAI-00019,2026-07-18,COMPLETED,
OUT-00020,PAI-00020,2026-03-17,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00021,PAI-00021,2026-02-23,COMPLETED,
OUT-00022,PAI-00022,2026-05-06,COMPLETED,
OUT-00023,PAI-00023,2026-06-02,COMPLETED,
OUT-00024,PAI-00024,2026-04-02,COMPLETED,
OUT-00025,PAI-00025,2026-04-12,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00026,PAI-00026,2026-05-09,COMPLETED,
OUT-00027,PAI-00027,2026-07-01,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00028,PAI-00028,2026-07-23,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00029,PAI-00029,2026-04-23,COMPLETED,
OUT-00030,PAI-00030,2026-08-02,COMPLETED,
OUT-00031,PAI-00031,2026-03-07,COMPLETED,
OUT-00033,PAI-00033,2026-05-23,COMPLETED,
OUT-00034,PAI-00034,2026-05-07,COMPLETED,
OUT-00035,PAI-00035,2026-04-26,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00036,PAI-00036,2026-08-26,COMPLETED,
OUT-00037,PAI-00037,2026-07-27,ABANDONED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00038,PAI-00038,2026-04-21,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00039,PAI-00039,2026-08-06,COMPLETED,
OUT-00040,PAI-00040,2026-03-27,COMPLETED,
OUT-00041,PAI-00041,2026-06-03,COMPLETED,
OUT-00042,PAI-00042,2026-04-02,COMPLETED,
OUT-00043,PAI-00043,2026-03-22,COMPLETED,
OUT-00044,PAI-00044,2026-07-13,CANCELLED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00045,PAI-00045,2026-04-16,COMPLETED,
OUT-00047,PAI-00047,2026-03-24,COMPLETED,
OUT-00048,PAI-00048,2026-07-03,COMPLETED,
OUT-00049,PAI-00049,2026-02-26,COMPLETED,
OUT-00050,PAI-00050,2026-05-31,COMPLETED,
OUT-00051,PAI-00051,2026-08-12,COMPLETED,
OUT-00052,PAI-00052,2026-07-09,COMPLETED,
OUT-00053,PAI-00053,2026-06-06,COMPLETED,
OUT-00054,PAI-00054,2026-07-26,COMPLETED,
OUT-00055,PAI-00055,2026-08-13,COMPLETED,
OUT-00056,PAI-00056,2026-04-20,COMPLETED,
OUT-00057,PAI-00057,2026-03-29,COMPLETED,
OUT-00058,PAI-00058,2026-06-07,COMPLETED,
OUT-00059,PAI-00059,2026-06-22,COMPLETED,
OUT-00060,PAI-00060,2026-02-08,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00061,PAI-00061,2026-06-23,FROZEN,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00062,PAI-00062,2026-05-29,COMPLETED,
OUT-00063,PAI-00063,2026-07-20,COMPLETED,
OUT-00064,PAI-00064,2026-04-06,COMPLETED,
OUT-00065,PAI-00065,2026-07-19,COMPLETED,
OUT-00067,PAI-00067,2026-02-27,TERMINATED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00068,PAI-00068,2026-07-19,COMPLETED,
OUT-00069,PAI-00069,2026-04-14,COMPLETED,
OUT-00070,PAI-00070,2026-08-03,DOWNGRADED,Synthetic outcome for model-development demonstration; not an official causal finding.
OUT-00071,PAI-00071,2026-03-23,COMPLETED,
OUT-00072,PAI-00072,2026-02-23,COMPLETED,
