internal_project_id,project_code,legacy_ocms_code,pmgid,mapping_method,mapping_confidence
PAI-00001,PAI26-100000,OCMS-2018-10000,PMG-50000,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00002,PAI26-100001,OCMS-2019-10001,PMG-50001,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00003,PAI26-100002,OCMS-2020-10002,PMG-50002,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00004,PAI26-100003,OCMS-2021-10003,PMG-50003,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00005,PAI26-100004,OCMS-2022-10004,PMG-50004,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00006,PAI26-100005,OCMS-2023-10005,PMG-50005,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00007,PAI26-100006,OCMS-2024-10006,PMG-50006,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00008,PAI26-100007,OCMS-2018-10007,PMG-50007,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00009,PAI26-100008,OCMS-2019-10008,PMG-50008,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00010,PAI26-100009,OCMS-2020-10009,PMG-50009,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00011,PAI26-100010,OCMS-2021-10010,PMG-50010,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00012,PAI26-100011,OCMS-2022-10011,PMG-50011,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00013,PAI26-100012,OCMS-2023-10012,PMG-50012,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00014,PAI26-100013,OCMS-2024-10013,PMG-50013,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00015,PAI26-100014,OCMS-2018-10014,PMG-50014,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00016,PAI26-100015,OCMS-2019-10015,PMG-50015,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00017,PAI26-100016,OCMS-2020-10016,PMG-50016,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00018,PAI26-100017,OCMS-2021-10017,PMG-50017,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00019,PAI26-100018,OCMS-2022-10018,PMG-50018,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00020,PAI26-100019,OCMS-2023-10019,PMG-50019,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00021,PAI26-100020,OCMS-2024-10020,PMG-50020,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00022,PAI26-100021,OCMS-2018-10021,PMG-50021,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00023,PAI26-100022,OCMS-2019-10022,PMG-50022,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00024,PAI26-100023,OCMS-2020-10023,PMG-50023,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00025,PAI26-100024,OCMS-2021-10024,PMG-50024,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00026,PAI26-100025,OCMS-2022-10025,PMG-50025,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00027,PAI26-100026,OCMS-2023-10026,PMG-50026,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00028,PAI26-100027,OCMS-2024-10027,PMG-50027,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00029,PAI26-100028,OCMS-2018-10028,PMG-50028,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00030,PAI26-100029,OCMS-2019-10029,PMG-50029,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00031,PAI26-100030,OCMS-2020-10030,PMG-50030,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00032,PAI26-100031,OCMS-2021-10031,PMG-50031,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00033,PAI26-100032,OCMS-2022-10032,PMG-50032,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00034,PAI26-100033,OCMS-2023-10033,PMG-50033,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00035,PAI26-100034,OCMS-2024-10034,PMG-50034,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00036,PAI26-100035,OCMS-2018-10035,PMG-50035,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00037,PAI26-100036,OCMS-2019-10036,PMG-50036,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00038,PAI26-100037,OCMS-2020-10037,PMG-50037,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00039,PAI26-100038,OCMS-2021-10038,PMG-50038,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00040,PAI26-100039,OCMS-2022-10039,PMG-50039,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00041,PAI26-100040,OCMS-2023-10040,PMG-50040,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00042,PAI26-100041,OCMS-2024-10041,PMG-50041,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00043,PAI26-100042,OCMS-2018-10042,PMG-50042,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00044,PAI26-100043,OCMS-2019-10043,PMG-50043,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00045,PAI26-100044,OCMS-2020-10044,PMG-50044,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00046,PAI26-100045,OCMS-2021-10045,PMG-50045,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00047,PAI26-100046,OCMS-2022-10046,PMG-50046,EXACT_SYNTHETIC_ID_MAP,1.0
PAI-00048,PAI26-100047,OCMS-2023-10047,PMG-50047,EXACT_SYNTHETIC_ID_MAP,1.0
