case_id,internal_project_id,evidence_date,outcome_type,failure_category,evidence_summary,source_scope
FAIL-00015,PAI-00015,2026-05-19,FROZEN,BUDGET_OR_APPROVAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00017,PAI-00017,2026-02-06,TERMINATED,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00020,PAI-00020,2026-03-17,FROZEN,BUDGET_OR_APPROVAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00025,PAI-00025,2026-04-12,FROZEN,BUDGET_OR_APPROVAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00027,PAI-00027,2026-07-01,DOWNGRADED,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00028,PAI-00028,2026-07-23,ABANDONED,CLEARANCE,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00035,PAI-00035,2026-04-26,CANCELLED,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00037,PAI-00037,2026-07-27,ABANDONED,BUDGET_OR_APPROVAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00038,PAI-00038,2026-04-21,TERMINATED,LAND_ACQUISITION,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00044,PAI-00044,2026-07-13,CANCELLED,BUDGET_OR_APPROVAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00060,PAI-00060,2026-02-08,TERMINATED,SCOPE_OR_POLICY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00061,PAI-00061,2026-06-23,FROZEN,PROCUREMENT_OR_CONTRACT,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00067,PAI-00067,2026-02-27,TERMINATED,LAND_ACQUISITION,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00070,PAI-00070,2026-08-03,DOWNGRADED,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00073,PAI-00073,2026-03-18,FROZEN,SCOPE_OR_POLICY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00076,PAI-00076,2026-07-25,FROZEN,LEGAL_OR_SOCIAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00078,PAI-00078,2026-06-24,ABANDONED,OTHER_OR_UNKNOWN,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00090,PAI-00090,2026-06-30,DOWNGRADED,FUNDING,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00100,PAI-00100,2026-03-09,FROZEN,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00102,PAI-00102,2026-06-28,CANCELLED,PROCUREMENT_OR_CONTRACT,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00115,PAI-00115,2026-08-07,ABANDONED,PROCUREMENT_OR_CONTRACT,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00125,PAI-00125,2026-04-07,DROPPED,LEGAL_OR_SOCIAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00134,PAI-00134,2026-07-15,TERMINATED,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00136,PAI-00136,2026-07-03,DOWNGRADED,LEGAL_OR_SOCIAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00142,PAI-00142,2026-02-23,DOWNGRADED,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00143,PAI-00143,2026-05-21,CANCELLED,CLEARANCE,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00153,PAI-00153,2026-05-05,DROPPED,LEGAL_OR_SOCIAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00159,PAI-00159,2026-08-07,DROPPED,SCOPE_OR_POLICY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00162,PAI-00162,2026-06-28,ABANDONED,LAND_ACQUISITION,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00163,PAI-00163,2026-03-18,ABANDONED,FUNDING,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00167,PAI-00167,2026-02-20,TERMINATED,SCOPE_OR_POLICY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00171,PAI-00171,2026-08-03,CANCELLED,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00172,PAI-00172,2026-02-28,CANCELLED,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00173,PAI-00173,2026-08-10,DROPPED,PROCUREMENT_OR_CONTRACT,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00183,PAI-00183,2026-02-12,DROPPED,BUDGET_OR_APPROVAL,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00184,PAI-00184,2026-08-20,FROZEN,SCOPE_OR_POLICY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00188,PAI-00188,2026-08-20,TERMINATED,SCOPE_OR_POLICY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00198,PAI-00198,2026-07-18,CANCELLED,ENGINEERING_OR_FEASIBILITY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00212,PAI-00212,2026-05-02,DOWNGRADED,LAND_ACQUISITION,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00223,PAI-00223,2026-05-06,CANCELLED,CLEARANCE,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
FAIL-00224,PAI-00224,2026-06-14,CANCELLED,SCOPE_OR_POLICY,Synthetic historical failure evidence for model-development demonstration.,SYNTHETIC_ONLY
