quality_event_id,internal_project_id,severity,event_type,description,resolution_status
DQ-00004-22,PAI-00004,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00006-03,PAI-00006,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00006-09,PAI-00006,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00006-23,PAI-00006,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00008-04,PAI-00008,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00008-08,PAI-00008,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00010-05,PAI-00010,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00012-18,PAI-00012,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00015-13,PAI-00015,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00017-04,PAI-00017,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00017-05,PAI-00017,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00018-13,PAI-00018,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00018-19,PAI-00018,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00021-08,PAI-00021,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00023-16,PAI-00023,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00025-19,PAI-00025,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00027-12,PAI-00027,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00028-08,PAI-00028,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00030-07,PAI-00030,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00032-14,PAI-00032,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00036-20,PAI-00036,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00040-09,PAI-00040,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00040-14,PAI-00040,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00040-22,PAI-00040,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00041-04,PAI-00041,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00041-07,PAI-00041,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00042-10,PAI-00042,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00047-18,PAI-00047,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00047-19,PAI-00047,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00048-03,PAI-00048,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00049-06,PAI-00049,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00052-11,PAI-00052,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00052-20,PAI-00052,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00054-20,PAI-00054,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00055-24,PAI-00055,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00057-09,PAI-00057,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00061-17,PAI-00061,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00062-15,PAI-00062,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00065-21,PAI-00065,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00067-04,PAI-00067,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00075-01,PAI-00075,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00076-08,PAI-00076,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00082-12,PAI-00082,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00083-21,PAI-00083,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00086-11,PAI-00086,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00098-18,PAI-00098,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00100-03,PAI-00100,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00106-16,PAI-00106,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00106-20,PAI-00106,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00107-23,PAI-00107,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00108-15,PAI-00108,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00108-18,PAI-00108,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00111-03,PAI-00111,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00112-05,PAI-00112,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00113-03,PAI-00113,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00117-09,PAI-00117,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00119-13,PAI-00119,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00124-06,PAI-00124,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00125-11,PAI-00125,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00139-06,PAI-00139,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00139-20,PAI-00139,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00140-12,PAI-00140,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00142-10,PAI-00142,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00142-23,PAI-00142,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00145-07,PAI-00145,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00149-18,PAI-00149,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00153-20,PAI-00153,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00155-11,PAI-00155,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00160-04,PAI-00160,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00163-21,PAI-00163,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00166-24,PAI-00166,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00171-09,PAI-00171,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00177-22,PAI-00177,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00178-04,PAI-00178,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00180-14,PAI-00180,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00183-24,PAI-00183,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00184-21,PAI-00184,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00185-13,PAI-00185,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00185-18,PAI-00185,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00187-09,PAI-00187,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00187-21,PAI-00187,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00189-15,PAI-00189,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00193-13,PAI-00193,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00196-11,PAI-00196,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00202-13,PAI-00202,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00202-15,PAI-00202,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00203-14,PAI-00203,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00211-14,PAI-00211,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00212-03,PAI-00212,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00216-06,PAI-00216,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00216-24,PAI-00216,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00220-12,PAI-00220,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00224-01,PAI-00224,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00224-06,PAI-00224,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00232-20,PAI-00232,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00240-02,PAI-00240,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00245-12,PAI-00245,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00249-21,PAI-00249,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00250-02,PAI-00250,MEDIUM,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00255-06,PAI-00255,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00255-23,PAI-00255,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00258-06,PAI-00258,LOW,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00261-08,PAI-00261,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00261-20,PAI-00261,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00266-08,PAI-00266,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00267-12,PAI-00267,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00269-11,PAI-00269,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00274-19,PAI-00274,LOW,MISSING_VALUE,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00275-22,PAI-00275,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00280-18,PAI-00280,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00291-20,PAI-00291,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00293-13,PAI-00293,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00294-22,PAI-00294,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00301-14,PAI-00301,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00301-18,PAI-00301,LOW,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00304-16,PAI-00304,MEDIUM,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
DQ-00307-01,PAI-00307,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00307-16,PAI-00307,MEDIUM,SUSPICIOUS_OUTLIER,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00311-05,PAI-00311,MEDIUM,SCHEMA_VALIDATION,Synthetic data-quality event generated for pipeline demonstration.,RESOLVED
DQ-00311-13,PAI-00311,LOW,DUPLICATE_CHECK,Synthetic data-quality event generated for pipeline demonstration.,OPEN
